Month,Icecream
01/01/1995,51.595
01/02/1995,56.086
01/03/1995,68.453
01/04/1995,65.722
01/05/1995,73.73
01/06/1995,77.994
01/07/1995,81.475
01/08/1995,74.981
01/09/1995,61.53
01/10/1995,60.022
01/11/1995,52.772
01/12/1995,50.85
01/01/1996,53.116
01/02/1996,57.463
01/03/1996,68.929
01/04/1996,69.673
01/05/1996,77.387
01/06/1996,86.814
01/07/1996,83.006
01/08/1996,79.26
01/09/1996,69.216
01/10/1996,64.556
01/11/1996,54.378
01/12/1996,53.291
01/01/1997,55.565
01/02/1997,58.962
01/03/1997,72.866
01/04/1997,74.965
01/05/1997,75.425
01/06/1997,85.133
01/07/1997,83.144
01/08/1997,75.258
01/09/1997,70.23
01/10/1997,61.385
01/11/1997,53.516
01/12/1997,55.289
01/01/1998,51.239
01/02/1998,61.373
01/03/1998,73.202
01/04/1998,72.327
01/05/1998,74.358
01/06/1998,86.093
01/07/1998,85.398
01/08/1998,80.306
01/09/1998,70.906
01/10/1998,59.909
01/11/1998,55.138
01/12/1998,55.748
01/01/1999,54.842
01/02/1999,62.058
01/03/1999,76.594
01/04/1999,75.76
01/05/1999,77.564
01/06/1999,86.014
01/07/1999,82.94
01/08/1999,82.679
01/09/1999,66.571
01/10/1999,59.571
01/11/1999,57.466
01/12/1999,53.597
01/01/2000,58.263
01/02/2000,60.9
01/03/2000,74.14
01/04/2000,72.652
01/05/2000,76.877
01/06/2000,85.091
01/07/2000,82.104
01/08/2000,82.661
01/09/2000,65.038
01/10/2000,62.875
01/11/2000,54.745
01/12/2000,47.127
01/01/2001,56.419
01/02/2001,62.337
01/03/2001,68.258
01/04/2001,74.011
01/05/2001,79.862
01/06/2001,85.562
01/07/2001,86.931
01/08/2001,77.49
01/09/2001,67.962
01/10/2001,62.395
01/11/2001,50.905
01/12/2001,53.106
01/01/2002,60.822
01/02/2002,64.592
01/03/2002,73.945
01/04/2002,77.569
01/05/2002,81.294
01/06/2002,86.244
01/07/2002,0
01/08/2002,77.673
01/09/2002,68.668
01/10/2002,67.552
01/11/2002,54.669
01/12/2002,54.455
01/01/2003,60.779
01/02/2003,67.236
01/03/2003,78.355
01/04/2003,81.5
01/05/2003,80.676
01/06/2003,89.052
01/07/2003,86.776
01/08/2003,77.139
01/09/2003,72.886
01/10/2003,64.913
01/11/2003,51.466
01/12/2003,55.504
01/01/2004,60.51
01/02/2004,64.807
01/03/2004,77.146
01/04/2004,77.889
01/05/2004,77.391
01/06/2004,90.472
01/07/2004,87.15
01/08/2004,82.229
01/09/2004,72.581
01/10/2004,62.312
01/11/2004,59.077
01/12/2004,56.874
01/01/2005,61.187
01/02/2005,70.834
01/03/2005,83.151
01/04/2005,80.169
01/05/2005,84.102
01/06/2005,88.184
01/07/2005,83.695
01/08/2005,80.309
01/09/2005,68.791
01/10/2005,70.63
01/11/2005,57.228
01/12/2005,53.824
01/01/2006,67.522
01/02/2006,67.686
01/03/2006,77.21
01/04/2006,78.595
01/05/2006,80.606
01/06/2006,84.793
01/07/2006,82.154
01/08/2006,79.953
01/09/2006,70.26
01/10/2006,67.701
01/11/2006,59.216
01/12/2006,54.59
01/01/2007,70.189
01/02/2007,69.71
01/03/2007,76.055
01/04/2007,80.911
01/05/2007,78.275
01/06/2007,81.322
01/07/2007,83.614
01/08/2007,78.457
01/09/2007,70.449
01/10/2007,71.2
01/11/2007,57.893
01/12/2007,54.413
01/01/2008,69.008
01/02/2008,69.967
01/03/2008,74.936
01/04/2008,80.988
01/05/2008,80.207
01/06/2008,84.551
01/07/2008,83.579
01/08/2008,76.614
01/09/2008,72.712
01/10/2008,69.345
01/11/2008,58.552
01/12/2008,54.955
01/01/2009,60.122
01/02/2009,64.406
01/03/2009,78.6
01/04/2009,77.034
01/05/2009,74.477
01/06/2009,85.427
01/07/2009,78.088
01/08/2009,73.867
01/09/2009,71.086
01/10/2009,68.319
01/11/2009,59.305
01/12/2009,55.364
01/01/2010,62.344
01/02/2010,66.218
01/03/2010,79.505
01/04/2010,78.544
01/05/2010,79.1
01/06/2010,92.306
01/07/2010,88.03
01/08/2010,90.306
01/09/2010,73.551
01/10/2010,70.633
01/11/2010,61.963
01/12/2010,55.48
01/01/2011,66.918
01/02/2011,68.038
01/03/2011,84.334
01/04/2011,81.173
01/05/2011,85.391
01/06/2011,93.01
01/07/2011,89.326
01/08/2011,89.949
01/09/2011,76.134
01/10/2011,67.334
01/11/2011,60.303
01/12/2011,52.829
01/01/2012,69.463
01/02/2012,67.259
01/03/2012,78.959
01/04/2012,82.236
01/05/2012,87.093
01/06/2012,88.012
01/07/2012,85.4
01/08/2012,80.328
01/09/2012,71.003
01/10/2012,70.84
01/11/2012,56.506
01/12/2012,53.87